left_identity,right_identity,left_index,right_index,label,split
Stephen_Friedman,Stephen_Friedman,1,2,1,train
Matt_Damon,Matt_Damon,4,1,1,train
Tommy_Robredo,Tommy_Robredo,3,2,1,train
Nancy_Pelosi,Nancy_Pelosi,5,15,1,train
Bernard_Law,Bernard_Law,5,1,1,train
Roger_Clemens,Roger_Clemens,1,2,1,train
Tiger_Woods,Tiger_Woods,7,9,1,train
Paul_Gascoigne,Paul_Gascoigne,3,1,1,train
Justin_Leonard,Justin_Leonard,3,2,1,train
Rick_Perry,Rick_Perry,3,5,1,train
Christina_Aguilera,Christina_Aguilera,3,2,1,train
Tony_Blair,Tony_Blair,106,32,1,train
Lyle_Vanclief,Lyle_Vanclief,1,2,1,train
Celine_Dion,Celine_Dion,6,3,1,train
Joseph_Ralston,Joseph_Ralston,2,1,1,train
Akbar_Hashemi_Rafsanjani,Akbar_Hashemi_Rafsanjani,2,3,1,train
Oscar_Elias_Biscet,Oscar_Elias_Biscet,1,2,1,train
Jesse_Ventura,Jesse_Ventura,2,3,1,train
Robert_Witt,Robert_Witt,2,1,1,train
Jane_Kaczmarek,Jane_Kaczmarek,1,2,1,train
Antonio_Banderas,Antonio_Banderas,3,5,1,train
Abdullatif_Sener,Abdullatif_Sener,2,1,1,train
Keira_Knightley,Keira_Knightley,2,1,1,train
Tamara_Brooks,Tamara_Brooks,2,1,1,train
Marco_Antonio_Barrera,Marco_Antonio_Barrera,2,6,1,train
Evan_Rachel_Wood,Evan_Rachel_Wood,1,3,1,train
John_Blaney,John_Blaney,2,1,1,train
Tom_Harkin,Tom_Harkin,2,4,1,train
Megawati_Sukarnoputri,Megawati_Sukarnoputri,7,5,1,train
Mel_Brooks,Mel_Brooks,1,2,1,train
Sam_Mendes,Sam_Mendes,1,2,1,train
Carolina_Moraes,Carolina_Moraes,1,2,1,train
Gloria_Trevi,Gloria_Trevi,4,2,1,train
Ellen_DeGeneres,Ellen_DeGeneres,1,2,1,train
Jayson_Williams,Jayson_Williams,3,1,1,train
John_McCain,John_McCain,5,2,1,train
Trent_Lott,Trent_Lott,2,11,1,train
Martha_Beatriz_Roque,Martha_Beatriz_Roque,2,1,1,train
Clara_Harris,Clara_Harris,5,3,1,train
Mark_Hurlbert,Mark_Hurlbert,4,2,1,train
Billy_Sollie,Billy_Sollie,1,2,1,train
Robert_Witt,Robert_Witt,2,1,1,train
Eva_Dimas,Eva_Dimas,2,1,1,train
Michelle_Collins,Michelle_Collins,2,1,1,train
Katie_Harman,Katie_Harman,2,3,1,train
Gordon_Campbell,Gordon_Campbell,2,1,1,train
Priscilla_Presley,Priscilla_Presley,1,2,1,train
Oprah_Winfrey,Oprah_Winfrey,4,3,1,train
Hanan_Ashrawi,Hanan_Ashrawi,2,1,1,train
Justine_Pasek,Justine_Pasek,1,4,1,train
Beth_Jones,Beth_Jones,1,2,1,train
Bertrand_Bonello,Bertrand_Bonello,2,1,1,train
Annette_Bening,Annette_Bening,2,1,1,train
James_Blake,James_Blake,3,12,1,train
John_Taylor,John_Taylor,2,1,1,train
Jeff_Van_Gundy,Jeff_Van_Gundy,2,1,1,train
Stanley_McChrystal,Stanley_McChrystal,3,1,1,train
Lisa_Marie_Presley,Lisa_Marie_Presley,3,2,1,train
Bill_Gates,Bill_Gates,9,14,1,train
Pervez_Musharraf,Pervez_Musharraf,3,6,1,train
Marcus_Gronholm,Marcus_Gronholm,2,1,1,train
Amanda_Bynes,Amanda_Bynes,4,3,1,train
Elizabeth_Shue,Elizabeth_Shue,2,1,1,train
Ed_Rosenthal,Ed_Rosenthal,2,1,1,train
Monica_Lewinsky,Monica_Lewinsky,1,3,1,train
Marty_Mornhinweg,Marty_Mornhinweg,1,2,1,train
Strom_Thurmond,Strom_Thurmond,1,2,1,train
Jane_Pauley,Jane_Pauley,1,2,1,train
Win_Aung,Win_Aung,1,2,1,train
Kevin_Stallings,Kevin_Stallings,2,1,1,train
Chick_Hearn,Chick_Hearn,2,3,1,train
Oscar_Elias_Biscet,Oscar_Elias_Biscet,1,2,1,train
Shane_Mosley,Shane_Mosley,1,2,1,train
William_Bulger,William_Bulger,4,1,1,train
Jorge_Castaneda,Jorge_Castaneda,2,1,1,train
Marina_Anissina,Marina_Anissina,2,1,1,train
Naji_Sabri,Naji_Sabri,2,7,1,train
Adolfo_Aguilar_Zinser,Adolfo_Aguilar_Zinser,2,3,1,train
Mike_Miller,Mike_Miller,1,2,1,train
Fernando_Vargas,Fernando_Vargas,1,3,1,train
Jeremy_Greenstock,Jeremy_Greenstock,7,16,1,train
Claire_Hentzen,Claire_Hentzen,2,1,1,train
Dai_Bachtiar,Dai_Bachtiar,1,2,1,train
William_Macy,William_Macy,4,3,1,train
Elisabeth_Schumacher,Elisabeth_Schumacher,2,1,1,train
John_Cusack,John_Cusack,1,2,1,train
